[Sunday/September 22/09/2024 21:22:45] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 5/GoT.S05E07.The.Gift.720p.mkv | length=3531.84 | time=2323.66
[Sunday/September 22/09/2024 21:22:55] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E02.Home.720p.mkv | length=3222.496 | time=2566.402
[Sunday/September 22/09/2024 21:22:58] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E01.The.Red.Woman.720p.mkv | length=3004.251 | time=2219.05
[Sunday/September 22/09/2024 21:23:00] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E01.The.Red.Woman.720p.mkv | length=3004.251 | time=1027.651
[Sunday/September 22/09/2024 21:23:03] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E03.Oathbreaker.720p.mkv | length=3132.259 | time=1170.091
[Sunday/September 22/09/2024 21:23:06] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E03.Oathbreaker.720p.mkv | length=3132.259 | time=1228.065
[Sunday/September 22/09/2024 21:23:24] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E04.Book.of.the.Stranger.720p.mkv | length=3521.664 | time=3192.069
[Sunday/September 22/09/2024 21:23:35] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E04.Book.of.the.Stranger.720p.mkv | length=3521.664 | time=1728.857
[Sunday/September 22/09/2024 21:23:38] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E05.The.Door.720p.mkv | length=3408.128 | time=2007.677
[Sunday/September 22/09/2024 21:23:47] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E05.The.Door.720p.mkv | length=3408.128 | time=1995.415
[Sunday/September 22/09/2024 21:24:02] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E06.Blood.of.My.Blood.720p.mkv | length=3087.616 | time=2531.784
[Sunday/September 22/09/2024 21:24:11] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E06.Blood.of.My.Blood.720p.mkv | length=3087.616 | time=2443.321
[Sunday/September 22/09/2024 21:25:08] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E07.The.Broken.Man.720p.mkv | length=3020.864 | time=2545.882
[Sunday/September 22/09/2024 21:26:14] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E07.The.Broken.Man.720p.mkv | length=3020.864 | time=793.381
[Sunday/September 22/09/2024 21:26:22] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E08.No.One.720p.mkv | length=3500.8 | time=3169.546
[Sunday/September 22/09/2024 21:26:27] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E08.No.One.720p.mkv | length=3500.8 | time=2277.614
